"from","to","n","from_iso","to_iso"
"Malawi","Afghanistan",NA,"MWI","AFG"
"Malaysia","Afghanistan",NA,"MYS","AFG"
"Maldives","Afghanistan",NA,"MDV","AFG"
"Mali","Afghanistan",NA,"MLI","AFG"
"Malta","Afghanistan",NA,"MLT","AFG"
"Marshall Islands","Afghanistan",NA,"MHL","AFG"
"Mauritania","Afghanistan",NA,"MRT","AFG"
"Mauritius","Afghanistan",NA,"MUS","AFG"
"Mayotte","Afghanistan",NA,"MYT","AFG"
"Mexico","Afghanistan",NA,"MEX","AFG"
"Micronesia, Fed. Sts.","Afghanistan",NA,"FSM","AFG"
"Moldova","Afghanistan",NA,"MDA","AFG"
"Monaco","Afghanistan",NA,"MCO","AFG"
"Mongolia","Afghanistan",NA,"MNG","AFG"
"Montenegro","Afghanistan",NA,"MNE","AFG"
"Morocco","Afghanistan",NA,"MAR","AFG"
"Mozambique","Afghanistan",NA,"MOZ","AFG"
"Myanmar","Afghanistan",NA,"MMR","AFG"
"Namibia","Afghanistan",NA,"NAM","AFG"
"Nepal","Afghanistan",NA,"NPL","AFG"
"Netherlands","Afghanistan",NA,"NLD","AFG"
"Netherlands Antilles","Afghanistan",NA,"ANT","AFG"
"New Caledonia","Afghanistan",NA,"NCL","AFG"
"New Zealand","Afghanistan",NA,"NZL","AFG"
"Nicaragua","Afghanistan",NA,"NIC","AFG"
"Niger","Afghanistan",NA,"NER","AFG"
"Nigeria","Afghanistan",NA,"NGA","AFG"
"Northern Mariana Islands","Afghanistan",NA,"MNP","AFG"
"Norway","Afghanistan",NA,"NOR","AFG"
"Oman","Afghanistan",NA,"OMN","AFG"
"Pakistan","Afghanistan",NA,"PAK","AFG"
"Palau","Afghanistan",NA,"PLW","AFG"
"Panama","Afghanistan",NA,"PAN","AFG"
"Papua New Guinea","Afghanistan",NA,"PNG","AFG"
"Paraguay","Afghanistan",NA,"PRY","AFG"
"Peru","Afghanistan",NA,"PER","AFG"
"Philippines","Afghanistan",NA,"PHL","AFG"
"Poland","Afghanistan",NA,"POL","AFG"
"Portugal","Afghanistan",NA,"PRT","AFG"
"Puerto Rico","Afghanistan",NA,"PRI","AFG"
"Qatar","Afghanistan",NA,"QAT","AFG"
"Romania","Afghanistan",NA,"ROU","AFG"
"Russian Federation","Afghanistan",NA,"RUS","AFG"
"Rwanda","Afghanistan",NA,"RWA","AFG"
"Samoa","Afghanistan",NA,"WSM","AFG"
"San Marino","Afghanistan",NA,"SMR","AFG"
"São Tomé and Principe","Afghanistan",NA,"STP","AFG"
"Saudi Arabia","Afghanistan",NA,"SAU","AFG"
"Senegal","Afghanistan",NA,"SEN","AFG"
"Serbia","Afghanistan",NA,"SRB","AFG"
"Seychelles","Afghanistan",NA,"SYC","AFG"
"Sierra Leone","Afghanistan",NA,"SLE","AFG"
"Singapore","Afghanistan",NA,"SGP","AFG"
"Slovak Republic","Afghanistan",NA,"SVK","AFG"
"Slovenia","Afghanistan",NA,"SVN","AFG"
"Solomon Islands","Afghanistan",NA,"SLB","AFG"
"Somalia","Afghanistan",NA,"SOM","AFG"
"South Africa","Afghanistan",NA,"ZAF","AFG"
"Spain","Afghanistan",NA,"ESP","AFG"
"Sri Lanka","Afghanistan",NA,"LKA","AFG"
"St. Kitts and Nevis","Afghanistan",NA,"KNA","AFG"
"St. Lucia","Afghanistan",NA,"LCA","AFG"
"St. Vincent and the Grenadines","Afghanistan",NA,"VCT","AFG"
"Sudan","Afghanistan",NA,"SDN","AFG"
"Suriname","Afghanistan",NA,"SUR","AFG"
"Swaziland","Afghanistan",NA,"SWZ","AFG"
"Sweden","Afghanistan",NA,"SWE","AFG"
"Switzerland","Afghanistan",NA,"CHE","AFG"
"Syrian Arab Republic","Afghanistan",NA,"SYR","AFG"
"Tajikistan","Afghanistan",NA,"TJK","AFG"
"Tanzania","Afghanistan",NA,"TZA","AFG"
"Thailand","Afghanistan",NA,"THA","AFG"
"Timor-Leste","Afghanistan",NA,"TLS","AFG"
"Togo","Afghanistan",NA,"TGO","AFG"
"Tonga","Afghanistan",NA,"TON","AFG"
"Trinidad and Tobago","Afghanistan",NA,"TTO","AFG"
"Tunisia","Afghanistan",NA,"TUN","AFG"
"Turkey","Afghanistan",NA,"TUR","AFG"
"Turkmenistan","Afghanistan",NA,"TKM","AFG"
"Turks and Caicos Islands","Afghanistan",NA,"TCA","AFG"
"Tuvalu","Afghanistan",NA,"TUV","AFG"
"Uganda","Afghanistan",NA,"UGA","AFG"
"Ukraine","Afghanistan",NA,"UKR","AFG"
"United Arab Emirates","Afghanistan",NA,"ARE","AFG"
"United Kingdom","Afghanistan",NA,"GBR","AFG"
"United States","Afghanistan",NA,"USA","AFG"
"Uruguay","Afghanistan",NA,"URY","AFG"
"Uzbekistan","Afghanistan",NA,"UZB","AFG"
"Vanuatu","Afghanistan",NA,"VUT","AFG"
"Venezuela, RB","Afghanistan",NA,"VEN","AFG"
"Vietnam","Afghanistan",NA,"VNM","AFG"
"Virgin Islands (U.S.)","Afghanistan",NA,"VIR","AFG"
"West Bank and Gaza","Afghanistan",NA,"PSE","AFG"
"Yemen, Rep.","Afghanistan",NA,"YEM","AFG"
"Zambia","Afghanistan",NA,"ZMB","AFG"
"Zimbabwe","Afghanistan",NA,"ZWE","AFG"
"Other South","Afghanistan",NA,NA,"AFG"
"Other North","Afghanistan",NA,NA,"AFG"
"Afghanistan","Albania",0,"AFG","ALB"
"Albania","Albania",0,"ALB","ALB"
"Algeria","Albania",0,"DZA","ALB"
"American Samoa","Albania",0,"ASM","ALB"
"Andorra","Albania",0,"AND","ALB"
"Angola","Albania",0,"AGO","ALB"
"Antigua and Barbuda","Albania",0,"ATG","ALB"
"Argentina","Albania",0,"ARG","ALB"
"Armenia","Albania",0,"ARM","ALB"
"Aruba","Albania",0,"ABW","ALB"
"Australia","Albania",0,"AUS","ALB"
"Austria","Albania",0,"AUT","ALB"
"Azerbaijan","Albania",0,"AZE","ALB"
"Bahamas, The","Albania",0,"BHS","ALB"
"Bahrain","Albania",0,"BHR","ALB"
"Bangladesh","Albania",0,"BGD","ALB"
"Barbados","Albania",0,"BRB","ALB"
"Belarus","Albania",0,"BLR","ALB"
"Belgium","Albania",0,"BEL","ALB"
"Belize","Albania",0,"BLZ","ALB"
"Benin","Albania",0,"BEN","ALB"
"Bermuda","Albania",0,"BMU","ALB"
"Bhutan","Albania",0,"BTN","ALB"
"Bolivia","Albania",0,"BOL","ALB"
"Bosnia and Herzegovina","Albania",0,"BIH","ALB"
"Botswana","Albania",0,"BWA","ALB"
"Brazil","Albania",0,"BRA","ALB"
"Brunei Darussalam","Albania",0,"BRN","ALB"
"Bulgaria","Albania",0,"BGR","ALB"
"Burkina Faso","Albania",0,"BFA","ALB"
"Burundi","Albania",0,"BDI","ALB"
"Cambodia","Albania",0,"KHM","ALB"
"Cameroon","Albania",0,"CMR","ALB"
"Canada","Albania",0,"CAN","ALB"
"Cape Verde","Albania",0,"CPV","ALB"
"Cayman Islands","Albania",0,"CYM","ALB"
"Central African Republic","Albania",0,"CAF","ALB"
"Chad","Albania",0,"TCD","ALB"
"Channel Islands","Albania",0,"","ALB"
"Chile","Albania",0,"CHL","ALB"
"China","Albania",0,"CHN","ALB"
"Colombia","Albania",0,"COL","ALB"
"Comoros","Albania",0,"COM","ALB"
"Congo, Dem. Rep.","Albania",0,"COD","ALB"
"Congo, Rep.","Albania",0,"COG","ALB"
"Costa Rica","Albania",0,"CRI","ALB"
"Côte d'Ivoire","Albania",0,"CIV","ALB"
"Croatia","Albania",0,"HRV","ALB"
"Cuba","Albania",0,"CUB","ALB"
"Cyprus","Albania",0,"CYP","ALB"
"Czech Republic","Albania",1075.05696124414,"CZE","ALB"
"Denmark","Albania",0,"DNK","ALB"
"Djibouti","Albania",0,"DJI","ALB"
"Dominica","Albania",0,"DMA","ALB"
"Dominican Republic","Albania",0,"DOM","ALB"
"Ecuador","Albania",0,"ECU","ALB"
"Egypt, Arab Rep.","Albania",0,"EGY","ALB"
"El Salvador","Albania",0,"SLV","ALB"
"Equatorial Guinea","Albania",0,"GNQ","ALB"
"Eritrea","Albania",0,"ERI","ALB"
"Estonia","Albania",0,"EST","ALB"
"Ethiopia","Albania",0,"ETH","ALB"
"Faeroe Islands","Albania",0,"FRO","ALB"
"Fiji","Albania",0,"FJI","ALB"
"Finland","Albania",0,"FIN","ALB"
"France","Albania",0,"FRA","ALB"
"French Polynesia","Albania",0,"PYF","ALB"
"Gabon","Albania",0,"GAB","ALB"
"Gambia, The","Albania",0,"GMB","ALB"
"Georgia","Albania",0,"GEO","ALB"
"Germany","Albania",0,"DEU","ALB"
"Ghana","Albania",0,"GHA","ALB"
"Gibraltar","Albania",0,"GIB","ALB"
"Greece","Albania",80777.7454332264,"GRC","ALB"
"Greenland","Albania",0,"GRL","ALB"
"Grenada","Albania",0,"GRD","ALB"
"Guam","Albania",0,"GUM","ALB"
"Guatemala","Albania",0,"GTM","ALB"
"Guinea","Albania",0,"GIN","ALB"
"Guinea-Bissau","Albania",0,"GNB","ALB"
"Guyana","Albania",0,"GUY","ALB"
"Haiti","Albania",0,"HTI","ALB"
"Honduras","Albania",0,"HND","ALB"
"Hong Kong, China","Albania",0,"HKG","ALB"
"Hungary","Albania",0,"HUN","ALB"
"Iceland","Albania",0,"ISL","ALB"
"India","Albania",0,"IND","ALB"
"Indonesia","Albania",0,"IDN","ALB"
"Iran, Islamic Rep.","Albania",0,"IRN","ALB"
"Iraq","Albania",0,"IRQ","ALB"
"Ireland","Albania",0,"IRL","ALB"
"Isle of Man","Albania",0,"IMN","ALB"
"Israel","Albania",100.356979758084,"ISR","ALB"
"Italy","Albania",72.861916810664,"ITA","ALB"
"Jamaica","Albania",0,"JAM","ALB"
"Japan","Albania",0,"JPN","ALB"
"Jordan","Albania",0,"JOR","ALB"
"Kazakhstan","Albania",0,"KAZ","ALB"
"Kenya","Albania",0,"KEN","ALB"
"Kiribati","Albania",0,"KIR","ALB"
"Korea, Dem. Rep.","Albania",0,"PRK","ALB"
"Korea, Rep.","Albania",0,"KOR","ALB"
"Kosovo","Albania",0,"KOS","ALB"
"Kuwait","Albania",0,"KWT","ALB"
"Kyrgyz Republic","Albania",0,"KGZ","ALB"
"Lao PDR","Albania",0,"LAO","ALB"
"Latvia","Albania",0,"LVA","ALB"
"Lebanon","Albania",0,"LBN","ALB"
"Lesotho","Albania",0,"LSO","ALB"
"Liberia","Albania",0,"LBR","ALB"
"Libya","Albania",0,"LBY","ALB"
"Liechtenstein","Albania",0,"LIE","ALB"
"Lithuania","Albania",0,"LTU","ALB"
"Luxembourg","Albania",0,"LUX","ALB"
"Macao, China","Albania",0,"MAC","ALB"
"Macedonia, FYR","Albania",6457.21553320168,"MKD","ALB"
"Madagascar","Albania",0,"MDG","ALB"
"Malawi","Albania",0,"MWI","ALB"
"Malaysia","Albania",0,"MYS","ALB"
"Maldives","Albania",0,"MDV","ALB"
"Mali","Albania",0,"MLI","ALB"
"Malta","Albania",0,"MLT","ALB"
"Marshall Islands","Albania",0,"MHL","ALB"
"Mauritania","Albania",0,"MRT","ALB"
"Mauritius","Albania",0,"MUS","ALB"
"Mayotte","Albania",0,"MYT","ALB"
"Mexico","Albania",0,"MEX","ALB"
"Micronesia, Fed. Sts.","Albania",0,"FSM","ALB"
"Moldova","Albania",0,"MDA","ALB"
"Monaco","Albania",0,"MCO","ALB"
"Mongolia","Albania",0,"MNG","ALB"
"Montenegro","Albania",0,"MNE","ALB"
"Morocco","Albania",0,"MAR","ALB"
"Mozambique","Albania",0,"MOZ","ALB"
"Myanmar","Albania",0,"MMR","ALB"
"Namibia","Albania",0,"NAM","ALB"
"Nepal","Albania",0,"NPL","ALB"
"Netherlands","Albania",0,"NLD","ALB"
"Netherlands Antilles","Albania",0,"ANT","ALB"
"New Caledonia","Albania",0,"NCL","ALB"
"New Zealand","Albania",0,"NZL","ALB"
"Nicaragua","Albania",0,"NIC","ALB"
"Niger","Albania",0,"NER","ALB"
"Nigeria","Albania",0,"NGA","ALB"
"Northern Mariana Islands","Albania",0,"MNP","ALB"
"Norway","Albania",0,"NOR","ALB"
"Oman","Albania",0,"OMN","ALB"
"Pakistan","Albania",0,"PAK","ALB"
"Palau","Albania",0,"PLW","ALB"
"Panama","Albania",0,"PAN","ALB"
"Papua New Guinea","Albania",0,"PNG","ALB"
"Paraguay","Albania",0,"PRY","ALB"
"Peru","Albania",0,"PER","ALB"
"Philippines","Albania",0,"PHL","ALB"
"Poland","Albania",0,"POL","ALB"
"Portugal","Albania",0,"PRT","ALB"
"Puerto Rico","Albania",0,"PRI","ALB"
"Qatar","Albania",0,"QAT","ALB"
"Romania","Albania",0,"ROU","ALB"
"Russian Federation","Albania",49.4911133053567,"RUS","ALB"
"Rwanda","Albania",0,"RWA","ALB"
"Samoa","Albania",0,"WSM","ALB"
"San Marino","Albania",0,"SMR","ALB"
"São Tomé and Principe","Albania",0,"STP","ALB"
"Saudi Arabia","Albania",0,"SAU","ALB"
"Senegal","Albania",0,"SEN","ALB"
"Serbia","Albania",0,"SRB","ALB"
"Seychelles","Albania",0,"SYC","ALB"
"Sierra Leone","Albania",0,"SLE","ALB"
"Singapore","Albania",0,"SGP","ALB"
"Slovak Republic","Albania",0,"SVK","ALB"
"Slovenia","Albania",0,"SVN","ALB"
"Solomon Islands","Albania",0,"SLB","ALB"
"Somalia","Albania",0,"SOM","ALB"
"South Africa","Albania",0,"ZAF","ALB"
"Spain","Albania",0,"ESP","ALB"
"Sri Lanka","Albania",0,"LKA","ALB"
"St. Kitts and Nevis","Albania",0,"KNA","ALB"
"St. Lucia","Albania",0,"LCA","ALB"
"St. Vincent and the Grenadines","Albania",0,"VCT","ALB"
"Sudan","Albania",0,"SDN","ALB"
"Suriname","Albania",0,"SUR","ALB"
"Swaziland","Albania",0,"SWZ","ALB"
"Sweden","Albania",0,"SWE","ALB"
"Switzerland","Albania",0,"CHE","ALB"
"Syrian Arab Republic","Albania",0,"SYR","ALB"
"Tajikistan","Albania",0,"TJK","ALB"
"Tanzania","Albania",0,"TZA","ALB"
"Thailand","Albania",0,"THA","ALB"
"Timor-Leste","Albania",0,"TLS","ALB"
"Togo","Albania",0,"TGO","ALB"
"Tonga","Albania",0,"TON","ALB"
"Trinidad and Tobago","Albania",0,"TTO","ALB"
"Tunisia","Albania",0,"TUN","ALB"
"Turkey","Albania",0,"TUR","ALB"
"Turkmenistan","Albania",0,"TKM","ALB"
"Turks and Caicos Islands","Albania",0,"TCA","ALB"
"Tuvalu","Albania",0,"TUV","ALB"
"Uganda","Albania",0,"UGA","ALB"
"Ukraine","Albania",0,"UKR","ALB"
"United Arab Emirates","Albania",0,"ARE","ALB"
"United Kingdom","Albania",0,"GBR","ALB"
"United States","Albania",0,"USA","ALB"
"Uruguay","Albania",0,"URY","ALB"
"Uzbekistan","Albania",0,"UZB","ALB"
"Vanuatu","Albania",0,"VUT","ALB"
"Venezuela, RB","Albania",0,"VEN","ALB"
"Vietnam","Albania",0,"VNM","ALB"
"Virgin Islands (U.S.)","Albania",0,"VIR","ALB"
"West Bank and Gaza","Albania",0,"PSE","ALB"
"Yemen, Rep.","Albania",0,"YEM","ALB"
"Zambia","Albania",0,"ZMB","ALB"
"Zimbabwe","Albania",0,"ZWE","ALB"
"Other South","Albania",42.1325901270741,NA,"ALB"
"Other North","Albania",531.139472326644,NA,"ALB"
"Afghanistan","Algeria",NA,"AFG","DZA"
"Albania","Algeria",NA,"ALB","DZA"
"Algeria","Algeria",NA,"DZA","DZA"
"American Samoa","Algeria",NA,"ASM","DZA"
"Andorra","Algeria",NA,"AND","DZA"
"Angola","Algeria",NA,"AGO","DZA"
"Antigua and Barbuda","Algeria",NA,"ATG","DZA"
"Argentina","Algeria",NA,"ARG","DZA"
"Armenia","Algeria",NA,"ARM","DZA"
"Aruba","Algeria",NA,"ABW","DZA"
"Australia","Algeria",NA,"AUS","DZA"
"Austria","Algeria",NA,"AUT","DZA"
"Azerbaijan","Algeria",NA,"AZE","DZA"
"Bahamas, The","Algeria",NA,"BHS","DZA"
"Bahrain","Algeria",NA,"BHR","DZA"
"Bangladesh","Algeria",NA,"BGD","DZA"
"Barbados","Algeria",NA,"BRB","DZA"
"Belarus","Algeria",NA,"BLR","DZA"
"Belgium","Algeria",NA,"BEL","DZA"
"Belize","Algeria",NA,"BLZ","DZA"
"Benin","Algeria",NA,"BEN","DZA"
"Bermuda","Algeria",NA,"BMU","DZA"
"Bhutan","Algeria",NA,"BTN","DZA"
"Bolivia","Algeria",NA,"BOL","DZA"
"Bosnia and Herzegovina","Algeria",NA,"BIH","DZA"
"Botswana","Algeria",NA,"BWA","DZA"
"Brazil","Algeria",NA,"BRA","DZA"
"Brunei Darussalam","Algeria",NA,"BRN","DZA"
"Bulgaria","Algeria",NA,"BGR","DZA"
"Burkina Faso","Algeria",NA,"BFA","DZA"
"Burundi","Algeria",NA,"BDI","DZA"
"Cambodia","Algeria",NA,"KHM","DZA"
"Cameroon","Algeria",NA,"CMR","DZA"
"Canada","Algeria",NA,"CAN","DZA"
"Cape Verde","Algeria",NA,"CPV","DZA"
"Cayman Islands","Algeria",NA,"CYM","DZA"
"Central African Republic","Algeria",NA,"CAF","DZA"
"Chad","Algeria",NA,"TCD","DZA"
"Channel Islands","Algeria",NA,"","DZA"
"Chile","Algeria",NA,"CHL","DZA"
"China","Algeria",NA,"CHN","DZA"
"Colombia","Algeria",NA,"COL","DZA"
"Comoros","Algeria",NA,"COM","DZA"
"Congo, Dem. Rep.","Algeria",NA,"COD","DZA"
"Congo, Rep.","Algeria",NA,"COG","DZA"
"Costa Rica","Algeria",NA,"CRI","DZA"
"Côte d'Ivoire","Algeria",NA,"CIV","DZA"
"Croatia","Algeria",NA,"HRV","DZA"
"Cuba","Algeria",NA,"CUB","DZA"
"Cyprus","Algeria",NA,"CYP","DZA"
"Czech Republic","Algeria",NA,"CZE","DZA"
"Denmark","Algeria",NA,"DNK","DZA"
"Djibouti","Algeria",NA,"DJI","DZA"
"Dominica","Algeria",NA,"DMA","DZA"
"Dominican Republic","Algeria",NA,"DOM","DZA"
"Ecuador","Algeria",NA,"ECU","DZA"
"Egypt, Arab Rep.","Algeria",NA,"EGY","DZA"
"El Salvador","Algeria",NA,"SLV","DZA"
"Equatorial Guinea","Algeria",NA,"GNQ","DZA"
"Eritrea","Algeria",NA,"ERI","DZA"
"Estonia","Algeria",NA,"EST","DZA"
"Ethiopia","Algeria",NA,"ETH","DZA"
"Faeroe Islands","Algeria",NA,"FRO","DZA"
"Fiji","Algeria",NA,"FJI","DZA"
"Finland","Algeria",NA,"FIN","DZA"
"France","Algeria",NA,"FRA","DZA"
"French Polynesia","Algeria",NA,"PYF","DZA"
"Gabon","Algeria",NA,"GAB","DZA"
"Gambia, The","Algeria",NA,"GMB","DZA"
"Georgia","Algeria",NA,"GEO","DZA"
"Germany","Algeria",NA,"DEU","DZA"
"Ghana","Algeria",NA,"GHA","DZA"
"Gibraltar","Algeria",NA,"GIB","DZA"
"Greece","Algeria",NA,"GRC","DZA"
"Greenland","Algeria",NA,"GRL","DZA"
"Grenada","Algeria",NA,"GRD","DZA"
"Guam","Algeria",NA,"GUM","DZA"
"Guatemala","Algeria",NA,"GTM","DZA"
"Guinea","Algeria",NA,"GIN","DZA"
"Guinea-Bissau","Algeria",NA,"GNB","DZA"
"Guyana","Algeria",NA,"GUY","DZA"
"Haiti","Algeria",NA,"HTI","DZA"
"Honduras","Algeria",NA,"HND","DZA"
"Hong Kong, China","Algeria",NA,"HKG","DZA"
"Hungary","Algeria",NA,"HUN","DZA"
"Iceland","Algeria",NA,"ISL","DZA"
"India","Algeria",NA,"IND","DZA"
"Indonesia","Algeria",NA,"IDN","DZA"
"Iran, Islamic Rep.","Algeria",NA,"IRN","DZA"
"Iraq","Algeria",NA,"IRQ","DZA"
"Ireland","Algeria",NA,"IRL","DZA"
"Isle of Man","Algeria",NA,"IMN","DZA"
"Israel","Algeria",NA,"ISR","DZA"
"Italy","Algeria",NA,"ITA","DZA"
"Jamaica","Algeria",NA,"JAM","DZA"
"Japan","Algeria",NA,"JPN","DZA"
"Jordan","Algeria",NA,"JOR","DZA"
"Kazakhstan","Algeria",NA,"KAZ","DZA"
"Kenya","Algeria",NA,"KEN","DZA"
"Kiribati","Algeria",NA,"KIR","DZA"
"Korea, Dem. Rep.","Algeria",NA,"PRK","DZA"
"Korea, Rep.","Algeria",NA,"KOR","DZA"
"Kosovo","Algeria",NA,"KOS","DZA"
"Kuwait","Algeria",NA,"KWT","DZA"
"Kyrgyz Republic","Algeria",NA,"KGZ","DZA"
"Lao PDR","Algeria",NA,"LAO","DZA"
"Latvia","Algeria",NA,"LVA","DZA"
"Lebanon","Algeria",NA,"LBN","DZA"
"Lesotho","Algeria",NA,"LSO","DZA"
"Liberia","Algeria",NA,"LBR","DZA"
"Libya","Algeria",NA,"LBY","DZA"
"Liechtenstein","Algeria",NA,"LIE","DZA"
"Lithuania","Algeria",NA,"LTU","DZA"
"Luxembourg","Algeria",NA,"LUX","DZA"
"Macao, China","Algeria",NA,"MAC","DZA"
"Macedonia, FYR","Algeria",NA,"MKD","DZA"
"Madagascar","Algeria",NA,"MDG","DZA"
"Malawi","Algeria",NA,"MWI","DZA"
"Malaysia","Algeria",NA,"MYS","DZA"
"Maldives","Algeria",NA,"MDV","DZA"
